iter	Passed	Remaining
296	1135	2688
297	1138	2682
298	1140	2674
299	1144	2669
300	1147	2664
301	1151	2660
302	1154	2655
303	1157	2650
304	1161	2646
305	1165	2642
306	1167	2636
307	1171	2633
308	1175	2629
309	1178	2623
310	1181	2617
311	1185	2615
312	1189	2610
313	1192	2604
314	1195	2600
315	1198	2594
316	1201	2589
317	1205	2585
318	1208	2579
319	1211	2574
320	1213	2567
321	1216	2562
322	1219	2556
323	1221	2548
324	1224	2542
325	1227	2537
326	1241	2555
327	1244	2549
328	1247	2544
329	1250	2539
330	1254	2534
331	1257	2530
332	1259	2523
333	1264	2522
334	1267	2516
335	1270	2511
336	1272	2503
337	1274	2495
338	1276	2489
339	1279	2483
340	1282	2479
341	1287	2476
342	1290	2471
343	1294	2467
344	1297	2463
345	1300	2459
346	1304	2454
347	1307	2450
348	1309	2442
349	1314	2440
350	1318	2437
351	1321	2432
352	1324	2427
353	1327	2421
354	1329	2415
355	1333	2411
356	1336	2406
357	1339	2401
358	1341	2395
359	1344	2390
360	1348	2386
361	1351	2382
362	1354	2376
363	1358	2373
364	1361	2368
365	1364	2364
366	1368	2360
367	1371	2355
368	1373	2348
369	1374	2341
370	1376	2334
371	1378	2327
372	1380	2319
373	1381	2312
374	1384	2307
375	1387	2302
376	1391	2299
377	1394	2294
378	1397	2289
379	1399	2284
380	1402	2277
381	1404	2271
382	1405	2264
383	1408	2259
384	1412	2255
385	1415	2251
386	1419	2248
387	1423	2245
388	1426	2241
389	1429	2236
390	1431	2230
391	1435	2226
392	1439	2222
393	1441	2217
394	1446	2214
395	1449	2211
396	1454	2208
397	1457	2203
398	1460	2199
399	1463	2195
400	1466	2190
401	1469	2186
402	1472	2181
403	1474	2175
404	1475	2168
405	1477	2162
406	1480	2157
407	1482	2151
408	1485	2146
409	1489	2143
410	1492	2139
411	1495	2134
412	1498	2130
413	1502	2126
414	1505	2121
415	1508	2117
416	1511	2113
417	1515	2109
418	1518	2105
419	1522	2101
420	1525	2097
421	1528	2093
422	1532	2090
423	1535	2085
424	1538	2081
425	1541	2076
426	1545	2073
427	1548	2069
428	1551	2064
429	1553	2059
